name,poi
BELDEN TIMOTHY N,0.1784338210349663
BOWEN JR RAYMOND M,0.2769985287528519
HANNON KEVIN P,0.15798098286883136
DELAINEY DAVID W,0.06687184729796748
CAUSEY RICHARD A,0.08897860381815091
HICKERSON GARY J,0.04535532604189689
FREVERT MARK A,0.7381406812280279
CHAN RONNIE,0.0402249521396383
DONAHUE JR JEFFREY M,0.0768934468749122
REYNOLDS LAWRENCE,0.05887997488530863
HORTON STANLEY C,0.09625599596764892
LEWIS RICHARD,0.03432440062945772
SHERRICK JEFFREY B,0.03826887263673169
MEYER JEROME J,0.03921782409951509
DERRICK JR. JAMES V,0.18515544743865828
PIRO JIM,0.03171239750755381
DETMERING TIMOTHY J,0.030022743587602853
KISHKILL JOSEPH G,0.1692850949964103
BAY FRANKLIN R,0.2037779229704998
PRENTICE JAMES,0.030266481070667307
TOTAL,0.8767250193958506
FALLON JAMES B,0.04396956001196039
METTS MARK,0.04558052759276847
WODRASKA JOHN,0.07686875047010197
MORDAUNT KRISTINA M,0.038396940401433856
CARTER REBECCA C,0.035051785754625364
BHATNAGAR SANJAY,0.03513553384931474
WALTERS GARETH W,0.0312605648532438
BIBI PHILIPPE A,0.03690498930801506
SHERRIFF JOHN R,0.10056815007018169
GIBBS DANA R,0.026204787957718478
LINDHOLM TOD A,0.06142962858619182
MCMAHON JEFFREY,0.3107157148234377
