name,poi
BELDEN TIMOTHY N,0.26544688420534235
BOWEN JR RAYMOND M,0.2225262218761836
HANNON KEVIN P,0.1980192500797925
DELAINEY DAVID W,0.011689164755620917
CAUSEY RICHARD A,0.19798414863223718
HICKERSON GARY J,0.1545463822985614
FREVERT MARK A,0.5505024735818851
CHAN RONNIE,0.12339947527257564
DONAHUE JR JEFFREY M,0.19240263595279686
REYNOLDS LAWRENCE,0.10906361219243865
HORTON STANLEY C,0.09008032897497686
LEWIS RICHARD,0.13852888663918184
SHERRICK JEFFREY B,0.14153022622783357
MEYER JEROME J,0.12076918406085947
DERRICK JR. JAMES V,0.14797270408050575
PIRO JIM,0.12627353887585221
DETMERING TIMOTHY J,0.10059520618465215
KISHKILL JOSEPH G,0.10695881503274517
BAY FRANKLIN R,0.11168930027803835
PRENTICE JAMES,0.09779897564367784
TOTAL,0.9999999999999039
FALLON JAMES B,0.1654841006636777
METTS MARK,0.16088663235965533
WODRASKA JOHN,0.1333637084001205
MORDAUNT KRISTINA M,0.10877092803745922
CARTER REBECCA C,0.14351427779037854
BHATNAGAR SANJAY,0.1521538826559931
WALTERS GARETH W,0.10497542777386029
BIBI PHILIPPE A,0.14629207448173456
SHERRIFF JOHN R,0.15220649780684892
GIBBS DANA R,0.12190220847633092
LINDHOLM TOD A,0.1098868357636704
MCMAHON JEFFREY,0.20405597389346303
