name,poi
BELDEN TIMOTHY N,0.009430004473751715
BOWEN JR RAYMOND M,0.971389583764378
HANNON KEVIN P,0.9565239968594702
DELAINEY DAVID W,0.0020309817608859786
CAUSEY RICHARD A,0.007115026777465071
HICKERSON GARY J,0.9629942835397258
FREVERT MARK A,0.20394543595072856
CHAN RONNIE,8.063370969233795e-05
DONAHUE JR JEFFREY M,8.063370969233795e-05
REYNOLDS LAWRENCE,0.00026864265823801627
HORTON STANLEY C,0.0003452212422283009
LEWIS RICHARD,8.063370969233795e-05
SHERRICK JEFFREY B,8.063370969233795e-05
MEYER JEROME J,8.063370969233795e-05
DERRICK JR. JAMES V,0.025668240824849003
PIRO JIM,8.071534691392092e-05
DETMERING TIMOTHY J,8.063370969233795e-05
KISHKILL JOSEPH G,0.9431180209521185
BAY FRANKLIN R,0.002812501429067807
PRENTICE JAMES,8.063370969233795e-05
TOTAL,0.9367854292880607
FALLON JAMES B,0.0198453350838373
METTS MARK,8.063370969233795e-05
WODRASKA JOHN,0.0006157963230363062
MORDAUNT KRISTINA M,8.063370969233795e-05
CARTER REBECCA C,8.063370969233795e-05
BHATNAGAR SANJAY,0.002587201259238948
WALTERS GARETH W,8.063370969233795e-05
BIBI PHILIPPE A,0.0003834887842903722
SHERRIFF JOHN R,0.0032409876043691505
GIBBS DANA R,5.200468117088344e-05
LINDHOLM TOD A,4.831386279733178e-05
MCMAHON JEFFREY,0.005717547066915541
