name,poi
BELDEN TIMOTHY N,0.08540160411920591
BOWEN JR RAYMOND M,0.1361854380555268
HANNON KEVIN P,0.1353191912716856
DELAINEY DAVID W,0.09713348629826525
CAUSEY RICHARD A,0.1366215301134885
HICKERSON GARY J,0.11915731828655823
FREVERT MARK A,0.11176054329971027
CHAN RONNIE,0.11051067933437138
DONAHUE JR JEFFREY M,0.1274158451107318
REYNOLDS LAWRENCE,0.16512197947072862
HORTON STANLEY C,0.11157679499820805
LEWIS RICHARD,0.12309837814368303
SHERRICK JEFFREY B,0.13048857016886245
MEYER JEROME J,0.1338490052987744
DERRICK JR. JAMES V,0.13977274093060021
PIRO JIM,0.10338716333961649
DETMERING TIMOTHY J,0.10577453234445326
KISHKILL JOSEPH G,0.13244531189090428
BAY FRANKLIN R,0.10052581994314305
PRENTICE JAMES,0.109877940736346
TOTAL,0.1247427082933697
FALLON JAMES B,0.13274339833681967
METTS MARK,0.12131937852429633
WODRASKA JOHN,0.1254416282184422
MORDAUNT KRISTINA M,0.10664953242535072
CARTER REBECCA C,0.12584716363163465
BHATNAGAR SANJAY,0.13156174464148868
WALTERS GARETH W,0.1548323863574357
BIBI PHILIPPE A,0.1260933227295244
SHERRIFF JOHN R,0.13324099788429067
GIBBS DANA R,0.13321433331819188
LINDHOLM TOD A,0.13817610321372747
MCMAHON JEFFREY,0.12512122667433404
