name,poi
BELDEN TIMOTHY N,0.2127990460511572
BOWEN JR RAYMOND M,0.37726279345336483
HANNON KEVIN P,0.09194001037880872
DELAINEY DAVID W,0.009654994614086063
CAUSEY RICHARD A,0.08392700248672184
HICKERSON GARY J,0.06457329635151196
FREVERT MARK A,0.881080252742233
CHAN RONNIE,0.057259736023594354
DONAHUE JR JEFFREY M,0.10942076304810353
REYNOLDS LAWRENCE,0.04103582353259259
HORTON STANLEY C,0.05146723031986717
LEWIS RICHARD,0.04884624653865768
SHERRICK JEFFREY B,0.054458617796028244
MEYER JEROME J,0.0558098120930724
DERRICK JR. JAMES V,0.10441938320559133
PIRO JIM,0.045132351767318474
DETMERING TIMOTHY J,0.04272433773033323
KISHKILL JOSEPH G,0.0751856362320567
BAY FRANKLIN R,0.0758890384495721
PRENTICE JAMES,0.04307027489577081
TOTAL,0.9886599768515809
FALLON JAMES B,0.06257181662333801
METTS MARK,0.06486493863908802
WODRASKA JOHN,0.06663317310833373
MORDAUNT KRISTINA M,0.05464290102982429
CARTER REBECCA C,0.049884399354710965
BHATNAGAR SANJAY,0.04999996697514355
WALTERS GARETH W,0.04448513893362906
BIBI PHILIPPE A,0.052521139507183824
SHERRIFF JOHN R,0.0576175230211032
GIBBS DANA R,0.03729091407164823
LINDHOLM TOD A,0.04466291917641241
MCMAHON JEFFREY,0.3999781932022464
