name,poi
BELDEN TIMOTHY N,0.3281785871109639
BOWEN JR RAYMOND M,0.0007357366405361833
HANNON KEVIN P,0.040358255876771464
DELAINEY DAVID W,0.00022414485190883673
CAUSEY RICHARD A,0.39338929644157417
HICKERSON GARY J,0.012269816424172898
FREVERT MARK A,0.9708820279812881
CHAN RONNIE,0.00018722386147332804
DONAHUE JR JEFFREY M,0.010225113044549981
REYNOLDS LAWRENCE,0.0005382274791187221
HORTON STANLEY C,0.0009225615250547815
LEWIS RICHARD,0.00011206480075834928
SHERRICK JEFFREY B,0.00029485746576339
MEYER JEROME J,0.00018722386147332804
DERRICK JR. JAMES V,0.4605653892657739
PIRO JIM,0.00011206480075834928
DETMERING TIMOTHY J,0.0054057348874020925
KISHKILL JOSEPH G,0.0736713593536305
BAY FRANKLIN R,0.10701121834571856
PRENTICE JAMES,0.0003222904592378505
TOTAL,0.9955648029100103
FALLON JAMES B,0.1700163846843682
METTS MARK,0.0003019056132208607
WODRASKA JOHN,0.0007039013869897498
MORDAUNT KRISTINA M,0.00026696158588188193
CARTER REBECCA C,0.0023708780184768805
BHATNAGAR SANJAY,0.0004706690632866525
WALTERS GARETH W,0.00022462735159626927
BIBI PHILIPPE A,0.00477709690941157
SHERRIFF JOHN R,0.010644953223366808
GIBBS DANA R,0.00014916288415324716
LINDHOLM TOD A,0.0018236738140596392
MCMAHON JEFFREY,0.541758565314608
