name,poi
BELDEN TIMOTHY N,0.15513896641464286
BOWEN JR RAYMOND M,0.13142202726032384
HANNON KEVIN P,0.13431351840996397
DELAINEY DAVID W,0.09095340017208559
CAUSEY RICHARD A,0.1270495768104819
HICKERSON GARY J,0.12663362402327957
FREVERT MARK A,0.16518935581454058
CHAN RONNIE,0.12146017575235234
DONAHUE JR JEFFREY M,0.1321989151334381
REYNOLDS LAWRENCE,0.12157434260712778
HORTON STANLEY C,0.12262782128553762
LEWIS RICHARD,0.12460739405960773
SHERRICK JEFFREY B,0.1250035235668015
MEYER JEROME J,0.12098745330910905
DERRICK JR. JAMES V,0.1274095990621301
PIRO JIM,0.12131226667982799
DETMERING TIMOTHY J,0.12312056623145412
KISHKILL JOSEPH G,0.12050000295779298
BAY FRANKLIN R,0.12141719691050346
PRENTICE JAMES,0.12478009501485202
TOTAL,0.4605189137348038
FALLON JAMES B,0.1278299509024291
METTS MARK,0.12610186183041472
WODRASKA JOHN,0.12498585636900307
MORDAUNT KRISTINA M,0.12446945859253927
CARTER REBECCA C,0.11940869141946361
BHATNAGAR SANJAY,0.12380986989080116
WALTERS GARETH W,0.12517414250970563
BIBI PHILIPPE A,0.12693414118706592
SHERRIFF JOHN R,0.12904625345931153
GIBBS DANA R,0.12133285847084901
LINDHOLM TOD A,0.12491597564909973
MCMAHON JEFFREY,0.13247444678540146
