name,poi
BELDEN TIMOTHY N,0.07225083266371217
BOWEN JR RAYMOND M,0.13062334389482633
HANNON KEVIN P,0.13618913721826653
DELAINEY DAVID W,0.10104006496452671
CAUSEY RICHARD A,0.13837449645822553
HICKERSON GARY J,0.11362061131002987
FREVERT MARK A,0.13049834310349287
CHAN RONNIE,0.10068006279675568
DONAHUE JR JEFFREY M,0.11913006742827037
REYNOLDS LAWRENCE,0.16836403745371023
HORTON STANLEY C,0.10358547123658894
LEWIS RICHARD,0.11992971959343414
SHERRICK JEFFREY B,0.12859855528978598
MEYER JEROME J,0.13180386723749968
DERRICK JR. JAMES V,0.14128103879644532
PIRO JIM,0.08967006319819869
DETMERING TIMOTHY J,0.09257862490521859
KISHKILL JOSEPH G,0.13278104967713322
BAY FRANKLIN R,0.08605891940753344
PRENTICE JAMES,0.10013982385864394
TOTAL,0.12261468054310878
FALLON JAMES B,0.1370355673648048
METTS MARK,0.11413585773402224
WODRASKA JOHN,0.12140703231615868
MORDAUNT KRISTINA M,0.09524059100189375
CARTER REBECCA C,0.11601228952415454
BHATNAGAR SANJAY,0.12809784865502472
WALTERS GARETH W,0.1615556630427829
BIBI PHILIPPE A,0.12466246555263283
SHERRIFF JOHN R,0.14423162435733564
GIBBS DANA R,0.1270826062553939
LINDHOLM TOD A,0.13262817040923047
MCMAHON JEFFREY,0.12496499138567195
